Hotel Name,Place,description,Condition,Rating,Total Reviews
Taj Hotel & Convention Centre Agra,Agra,Travel Sustainable property,Very good,8.4,"2,509 reviews"
Joey's Hostel Agra,"Taj Ganj, Agra",Travel Sustainable property,Very good,8.1,"2,512 reviews"
Hotel Saniya Palace inn,"Taj Ganj, Agra",Travel Sustainable property,Review score,6.7,327 reviews
Lucky Restaurant & Guest House,"Taj Ganj, Agra",Travel Sustainable property,Good,7.1,180 reviews
Hotel India inn,"Taj Ganj, Agra",Travel Sustainable property,Very good,8.3,14 reviews
The Oberoi Amarvilas Agra,Agra,Travel Sustainable property,Exceptional,9.6,390 reviews
Hotel The Chamber By WB Inn,"Taj Ganj, Agra",Travel Sustainable property,,,
The Coral Court Homestay,Agra,Travel Sustainable property,Superb,9.4,559 reviews
Radisson Hotel Agra,Agra,"Offering an outdoor pool and a restaurant, Radisson Hotel Agra is located in Agra. Free WiFi access is available. The famous and magnificent Taj Mahal is just 2 km away.",Good,7.6,"2,333 reviews"
DoubleTree by Hilton Agra,"Taj Ganj, Agra",Travel Sustainable property,Very good,8.4,"1,659 reviews"
Melbourne Inn Agra,"Taj Ganj, Agra","Conveniently set in Agra, Melbourne Inn Agra provides air-conditioned rooms with free WiFi, free private parking and room service.",Exceptional,9.6,17 reviews
"White House Family Home stay, Taj mahal walkin distance","Taj Ganj, Agra",Travel Sustainable property,Review score,5.8,26 reviews
"ITC Mughal, A Luxury Collection Resort & Spa, Agra","Taj Ganj, Agra",Travel Sustainable property,Good,7.9,933 reviews
The Coral House Homestay by the Taj,Agra,Travel Sustainable property,Superb,9.3,496 reviews
M J Homestay,Agra,Travel Sustainable property,,,
Sai Palace Walking Distance From TajMahal,"Taj Ganj, Agra","A 2-minute walk from the beautiful Taj Mahal, Sai Palace Walking Distance From TajMahal houses a rooftop restaurant featuring spectacular sunset and Taj Mahal views and serving international dishes.",Good,7.9,235 reviews
"Blossom Rooms The Family Hotel, 500 Mtr From Tajmahal",Agra,Travel Sustainable property,Review score,5.5,26 reviews
The Grand Imperial - Heritage Hotel,"Rakabganj, Agra",Travel Sustainable property,Good,7.4,588 reviews
"Blue Rose International, Family Hotel","Taj Ganj, Agra",Travel Sustainable property,Review score,4.9,137 reviews
Hotel Sahib's Red Carpet - The Family & Corporate Hotel,"Taj Ganj, Agra","In a prime location in the centre of Agra, Hotel Sahib's Red Carpet - The Family & Corporate Hotel provides free WiFi throughout the property, a restaurant and free private parking for guests who...",Good,7.2,98 reviews
Max Guest House,"Taj Ganj, Agra",Travel Sustainable property,Superb,9.4,452 reviews
Tajview – IHCL SeleQtions,"Taj Ganj, Agra",Travel Sustainable property,Fabulous,8.6,267 reviews
Hotel Taj Resorts,Agra,Travel Sustainable property,Good,7,462 reviews
Courtyard by Marriott Agra,"Taj Ganj, Agra",Travel Sustainable property,Very good,8.1,"1,137 reviews"
The Orchid Retreat,Agra,Travel Sustainable property,Exceptional,9.7,141 reviews
Hotel Sahib's Red Carpet - The Family & Corporate Hotel,"Taj Ganj, Agra","In a prime location in the centre of Agra, Hotel Sahib's Red Carpet - The Family & Corporate Hotel provides free WiFi throughout the property, a restaurant and free private parking for guests who...",Good,7.2,98 reviews
DoubleTree by Hilton Agra,"Taj Ganj, Agra",Travel Sustainable property,Very good,8.4,"1,659 reviews"
Courtyard by Marriott Agra,"Taj Ganj, Agra",Travel Sustainable property,Very good,8.1,"1,137 reviews"
Dazzling,"Taj Ganj, Agra",Travel Sustainable property,Good,7.7,158 reviews
"ITC Mughal, A Luxury Collection Resort & Spa, Agra","Taj Ganj, Agra",Travel Sustainable property,Good,7.9,933 reviews
Radisson Hotel Agra,Agra,"Offering an outdoor pool and a restaurant, Radisson Hotel Agra is located in Agra. Free WiFi access is available. The famous and magnificent Taj Mahal is just 2 km away.",Good,7.6,"2,333 reviews"
Taj Hotel & Convention Centre Agra,Agra,Travel Sustainable property,Very good,8.4,"2,509 reviews"
Holiday Inn Agra MG Road an IHG Hotel,"Sanjay Place, Agra",Travel Sustainable property,Very good,8.3,"1,137 reviews"
Tajview – IHCL SeleQtions,"Taj Ganj, Agra",Travel Sustainable property,Fabulous,8.6,267 reviews
The Grand Imperial - Heritage Hotel,"Rakabganj, Agra",Travel Sustainable property,Good,7.4,588 reviews
Trident Agra,Agra,"Located 1.5 km from Taj Mahal, Trident Agra features an outdoor pool and 24-hour front desk. A business centre, restaurant and bar are available. Some rooms offer garden or pool views.",Superb,9.1,751 reviews
The Oberoi Amarvilas Agra,Agra,Travel Sustainable property,Exceptional,9.6,390 reviews
Hotel Marine House,"Taj Ganj, Agra",Travel Sustainable property,Very good,8.4,120 reviews
Hotel Taj Resorts,Agra,Travel Sustainable property,Good,7,462 reviews
Hotel Clarks Shiraz,Agra,Travel Sustainable property,Good,7.7,135 reviews
The Coral Court Homestay,Agra,Travel Sustainable property,Superb,9.4,559 reviews
Joey's Hostel Agra,"Taj Ganj, Agra",Travel Sustainable property,Very good,8.1,"2,512 reviews"
Hotel Atulyaa Taj,Agra,Travel Sustainable property,Good,7.3,381 reviews
"Aman Homestay, A Boutique Hotel",Agra,Travel Sustainable property,Superb,9.3,395 reviews
The Hideout Agra - Boutique Homestay,"Taj Ganj, Agra",Travel Sustainable property,Very good,8.5,253 reviews
The Hosteller Agra,Agra,Travel Sustainable property,Very good,8,178 reviews
Hotel Taj Niwas,"Taj Ganj, Agra",Travel Sustainable property,Very good,8.1,150 reviews
Khas Mahal Homestay,Agra,Travel Sustainable property,Exceptional,9.6,63 reviews
Ramada Plaza By Wyndham Agra,Agra,Travel Sustainable property,Good,7,605 reviews
Surasena Regal Vista Agra,"Taj Ganj, Agra",Travel Sustainable property,Very good,8.3,96 reviews
Max Guest House,"Taj Ganj, Agra",Travel Sustainable property,Superb,9.4,452 reviews
Taj Castle A Boutique Homestay,"Rakabganj, Agra",Travel Sustainable property,Superb,9.1,245 reviews
"Hotel Sheela, 100m from Taj Mahal","Taj Ganj, Agra",Travel Sustainable property,Review score,6.8,262 reviews
Hotel Orange,"Rakabganj, Agra","Featuring 3-star accommodation, Hotel Orange is situated in Agra, 2.5 km from Agra Cantonment and 5 km from Taj Mahal. With free WiFi, this 3-star hotel offers room service and a 24-hour front desk.",Good,7.5,139 reviews
Maple Grand,"Taj Ganj, Agra",Maple Grand is set in Agra and features a garden. This 3-star hotel offers a 24-hour front desk and a business centre. The property is 1.3 km from Taj Mahal and 1.9 km from Mehtab Bagh.,Good,7.2,125 reviews
DoubleTree by Hilton Agra,"Taj Ganj, Agra",Travel Sustainable property,Very good,8.4,"1,659 reviews"
Courtyard by Marriott Agra,"Taj Ganj, Agra",Travel Sustainable property,Very good,8.1,"1,137 reviews"
Taj Hotel & Convention Centre Agra,Agra,Travel Sustainable property,Very good,8.4,"2,509 reviews"
Radisson Hotel Agra,Agra,"Offering an outdoor pool and a restaurant, Radisson Hotel Agra is located in Agra. Free WiFi access is available. The famous and magnificent Taj Mahal is just 2 km away.",Good,7.6,"2,333 reviews"
"ITC Mughal, A Luxury Collection Resort & Spa, Agra","Taj Ganj, Agra",Travel Sustainable property,Good,7.9,933 reviews
The Grand Imperial - Heritage Hotel,"Rakabganj, Agra",Travel Sustainable property,Good,7.4,588 reviews
Trident Agra,Agra,"Located 1.5 km from Taj Mahal, Trident Agra features an outdoor pool and 24-hour front desk. A business centre, restaurant and bar are available. Some rooms offer garden or pool views.",Superb,9.1,751 reviews
The Oberoi Amarvilas Agra,Agra,Travel Sustainable property,Exceptional,9.6,390 reviews
Hotel Clarks Shiraz,Agra,Travel Sustainable property,Good,7.7,135 reviews
